東西線 土曜・休日 下り（太秦天神川方面） 列車時刻表,,,,,,,,,,,,,,,,,,,,
"※終着駅は着時刻 , その他は発時刻を表示しています｡",,,,,,,,,,,,,,,,,,,,
※京津線区間は一部の駅のみ表示しています｡,,,,,,,,,,,,,,,,,,,,
行先（終着）,始発,六地蔵,石田,醍醐,小野,椥辻,東野,山科,御陵,蹴上,東山,三条京阪,京都市役所前,烏丸御池,二条城前,二条,西大路御池,太秦天神川,びわ湖浜大津,四宮
太秦天神川,六地蔵,8:00,8:02,8:04,8:06,8:08,8:10,8:13,8:16,8:18,8:20,8:22,8:24,8:26,8:28,8:30,8:32,8:34,,
太秦天神川,びわ湖浜大津,,,,,,,,8:20,8:23,8:25,8:26,8:28,8:30,8:32,8:34,8:36,8:38,8:03,8:15
太秦天神川,六地蔵,8:07,8:09,8:11,8:13,8:16,8:18,8:20,8:23,8:26,8:28,8:29,8:31,8:33,8:35,8:37,8:39,8:42,,
太秦天神川,六地蔵,8:15,8:17,8:19,8:21,8:23,8:25,8:28,8:31,8:33,8:35,8:37,8:39,8:41,8:43,8:45,8:47,8:49,,
太秦天神川,びわ湖浜大津,,,,,,,,8:36,8:38,8:40,8:42,8:44,8:46,8:47,8:50,8:52,8:54,8:19,8:31
太秦天神川,六地蔵,8:22,8:24,8:26,8:28,8:31,8:33,8:35,8:38,8:41,8:43,8:44,8:46,8:48,8:50,8:52,8:54,8:57,,
太秦天神川,六地蔵,8:30,8:32,8:34,8:36,8:38,8:40,8:43,8:46,8:48,8:50,8:52,8:54,8:56,8:58,9:00,9:02,9:04,,
太秦天神川,びわ湖浜大津,,,,,,,,8:50,8:53,8:55,8:56,8:58,9:00,9:02,9:04,9:06,9:08,8:33,8:45
太秦天神川,六地蔵,8:37,8:39,8:41,8:43,8:46,8:48,8:50,8:53,8:56,8:58,8:59,9:01,9:03,9:05,9:07,9:09,9:12,,
太秦天神川,六地蔵,8:45,8:47,8:49,8:51,8:53,8:55,8:58,9:01,9:03,9:05,9:07,9:09,9:11,9:13,9:15,9:17,9:19,,
太秦天神川,びわ湖浜大津,,,,,,,,9:06,9:09,9:11,9:12,9:14,9:16,9:18,9:20,9:22,9:24,8:49,9:01
太秦天神川,六地蔵,8:53,8:55,8:57,8:59,9:01,9:03,9:06,9:09,9:11,9:13,9:15,9:17,9:19,9:21,9:23,9:25,9:27,,
太秦天神川,六地蔵,9:00,9:02,9:04,9:06,9:08,9:10,9:13,9:16,9:18,9:20,9:22,9:24,9:26,9:28,9:30,9:32,9:34,,
太秦天神川,六地蔵,9:07,9:09,9:11,9:13,9:16,9:18,9:20,9:23,9:26,9:28,9:29,9:31,9:33,9:35,9:37,9:39,9:42,,
太秦天神川,びわ湖浜大津,,,,,,,,9:26,9:28,9:30,9:32,9:34,9:36,9:37,9:40,9:42,9:44,9:09,9:21
太秦天神川,六地蔵,9:14,9:16,9:18,9:20,9:23,9:25,9:27,9:30,9:33,9:35,9:36,9:38,9:40,9:42,9:44,9:46,9:49,,
太秦天神川,六地蔵,9:21,9:23,9:25,9:27,9:30,9:32,9:34,9:37,9:40,9:42,9:43,9:45,9:47,9:49,9:51,9:53,9:56,,
太秦天神川,六地蔵,9:29,9:31,9:33,9:35,9:37,9:39,9:42,9:45,9:47,9:49,9:51,9:53,9:55,9:57,9:59,10:01,10:03,,
太秦天神川,びわ湖浜大津,,,,,,,,9:48,9:50,9:52,9:54,9:55,9:57,9:59,10:01,10:03,10:06,9:30,9:42
太秦天神川,六地蔵,9:37,9:39,9:41,9:43,9:45,9:47,9:49,9:52,9:55,9:57,9:58,10:00,10:02,10:04,10:06,10:08,10:10,,
太秦天神川,六地蔵,9:45,9:47,9:49,9:51,9:53,9:55,9:57,10:00,10:03,10:05,10:06,10:08,10:10,10:12,10:14,10:16,10:18,,
太秦天神川,びわ湖浜大津,,,,,,,,10:05,10:07,10:09,10:11,10:12,10:14,10:16,10:18,10:20,10:23,9:48,10:00
太秦天神川,六地蔵,9:52,9:54,9:56,9:58,10:01,10:03,10:05,10:08,10:10,10:12,10:14,10:15,10:17,10:19,10:21,10:23,10:26,,
太秦天神川,六地蔵,10:00,10:02,10:04,10:06,10:08,10:10,10:12,10:15,10:18,10:20,10:21,10:23,10:25,10:27,10:29,10:31,10:33,,
太秦天神川,六地蔵,10:07,10:09,10:11,10:13,10:16,10:18,10:20,10:23,10:25,10:27,10:29,10:30,10:32,10:34,10:36,10:38,10:41,,
太秦天神川,びわ湖浜大津,,,,,,,,10:26,10:29,10:31,10:32,10:34,10:36,10:38,10:40,10:42,10:44,10:09,10:21
太秦天神川,六地蔵,10:15,10:17,10:19,10:21,10:23,10:25,10:27,10:30,10:33,10:35,10:36,10:38,10:40,10:42,10:44,10:46,10:48,,
太秦天神川,六地蔵,10:22,10:24,10:26,10:28,10:31,10:33,10:35,10:38,10:40,10:42,10:44,10:45,10:47,10:49,10:51,10:53,10:56,,
太秦天神川,六地蔵,10:30,10:32,10:34,10:36,10:38,10:40,10:42,10:45,10:48,10:50,10:51,10:53,10:55,10:57,10:59,11:01,11:03,,
太秦天神川,びわ湖浜大津,,,,,,,,10:48,10:50,10:52,10:54,10:55,10:57,10:59,11:01,11:03,11:06,10:31,10:43
太秦天神川,六地蔵,10:37,10:39,10:41,10:43,10:46,10:48,10:50,10:53,10:55,10:57,10:59,11:00,11:02,11:04,11:06,11:08,11:11,,
太秦天神川,六地蔵,10:45,10:47,10:49,10:51,10:53,10:55,10:57,11:00,11:03,11:05,11:06,11:08,11:10,11:12,11:14,11:16,11:18,,
太秦天神川,びわ湖浜大津,,,,,,,,11:05,11:08,11:10,11:11,11:13,11:15,11:17,11:19,11:21,11:23,10:48,11:00
太秦天神川,六地蔵,10:52,10:54,10:56,10:58,11:01,11:03,11:05,11:08,11:10,11:12,11:14,11:15,11:17,11:19,11:21,11:23,11:26,,
太秦天神川,六地蔵,11:00,11:02,11:04,11:06,11:08,11:10,11:12,11:15,11:18,11:20,11:21,11:23,11:25,11:27,11:29,11:31,11:33,,
太秦天神川,六地蔵,11:07,11:09,11:11,11:13,11:16,11:18,11:20,11:23,11:25,11:27,11:29,11:30,11:32,11:34,11:36,11:38,11:41,,
太秦天神川,びわ湖浜大津,,,,,,,,11:26,11:29,11:31,11:32,11:34,11:36,11:38,11:40,11:42,11:44,11:09,11:21
太秦天神川,六地蔵,11:15,11:17,11:19,11:21,11:23,11:25,11:27,11:30,11:33,11:35,11:36,11:38,11:40,11:42,11:44,11:46,11:48,,
太秦天神川,六地蔵,11:22,11:24,11:26,11:28,11:31,11:33,11:35,11:38,11:40,11:42,11:44,11:45,11:47,11:49,11:51,11:53,11:56,,
太秦天神川,六地蔵,11:30,11:32,11:34,11:36,11:38,11:40,11:42,11:45,11:48,11:50,11:51,11:53,11:55,11:57,11:59,12:01,12:03,,
太秦天神川,びわ湖浜大津,,,,,,,,11:48,11:50,11:52,11:54,11:55,11:57,11:59,12:01,12:03,12:06,11:31,11:43
太秦天神川,六地蔵,11:37,11:39,11:41,11:43,11:46,11:48,11:50,11:53,11:55,11:57,11:59,12:00,12:02,12:04,12:06,12:08,12:11,,
太秦天神川,六地蔵,11:45,11:47,11:49,11:51,11:53,11:55,11:57,12:00,12:03,12:05,12:06,12:08,12:10,12:12,12:14,12:16,12:18,,
太秦天神川,びわ湖浜大津,,,,,,,,12:05,12:08,12:10,12:11,12:13,12:15,12:17,12:19,12:21,12:23,11:48,12:00
太秦天神川,六地蔵,11:52,11:54,11:56,11:58,12:01,12:03,12:05,12:08,12:10,12:12,12:14,12:15,12:17,12:19,12:21,12:23,12:26,,
太秦天神川,六地蔵,12:00,12:02,12:04,12:06,12:08,12:10,12:12,12:15,12:18,12:20,12:21,12:23,12:25,12:27,12:29,12:31,12:33,,
太秦天神川,六地蔵,12:07,12:09,12:11,12:13,12:16,12:18,12:20,12:23,12:25,12:27,12:29,12:30,12:32,12:34,12:36,12:38,12:41,,
太秦天神川,びわ湖浜大津,,,,,,,,12:26,12:29,12:31,12:32,12:34,12:36,12:38,12:40,12:42,12:44,12:09,12:21
太秦天神川,六地蔵,12:15,12:17,12:19,12:21,12:23,12:25,12:27,12:30,12:33,12:35,12:36,12:38,12:40,12:42,12:44,12:46,12:48,,
太秦天神川,六地蔵,12:22,12:24,12:26,12:28,12:31,12:33,12:35,12:38,12:40,12:42,12:44,12:45,12:47,12:49,12:51,12:53,12:56,,
太秦天神川,六地蔵,12:30,12:32,12:34,12:36,12:38,12:40,12:42,12:45,12:48,12:50,12:51,12:53,12:55,12:57,12:59,13:01,13:03,,
太秦天神川,びわ湖浜大津,,,,,,,,12:48,12:50,12:52,12:54,12:55,12:57,12:59,13:01,13:03,13:06,12:31,12:43
太秦天神川,六地蔵,12:37,12:39,12:41,12:43,12:46,12:48,12:50,12:53,12:55,12:57,12:59,13:00,13:02,13:04,13:06,13:08,13:11,,
太秦天神川,六地蔵,12:45,12:47,12:49,12:51,12:53,12:55,12:57,13:00,13:03,13:05,13:06,13:08,13:10,13:12,13:14,13:16,13:18,,
太秦天神川,びわ湖浜大津,,,,,,,,13:05,13:08,13:10,13:11,13:13,13:15,13:17,13:19,13:21,13:23,12:48,13:00
太秦天神川,六地蔵,12:52,12:54,12:56,12:58,13:01,13:03,13:05,13:08,13:10,13:12,13:14,13:15,13:17,13:19,13:21,13:23,13:26,,
太秦天神川,六地蔵,13:00,13:02,13:04,13:06,13:08,13:10,13:12,13:15,13:18,13:20,13:21,13:23,13:25,13:27,13:29,13:31,13:33,,
太秦天神川,六地蔵,13:07,13:09,13:11,13:13,13:16,13:18,13:20,13:23,13:25,13:27,13:29,13:30,13:32,13:34,13:36,13:38,13:41,,
太秦天神川,びわ湖浜大津,,,,,,,,13:26,13:29,13:31,13:32,13:34,13:36,13:38,13:40,13:42,13:44,13:09,13:21
太秦天神川,六地蔵,13:15,13:17,13:19,13:21,13:23,13:25,13:27,13:30,13:33,13:35,13:36,13:38,13:40,13:42,13:44,13:46,13:48,,
太秦天神川,六地蔵,13:22,13:24,13:26,13:28,13:31,13:33,13:35,13:38,13:40,13:42,13:44,13:45,13:47,13:49,13:51,13:53,13:56,,
太秦天神川,六地蔵,13:30,13:32,13:34,13:36,13:38,13:40,13:42,13:45,13:48,13:50,13:51,13:53,13:55,13:57,13:59,14:01,14:03,,
太秦天神川,びわ湖浜大津,,,,,,,,13:48,13:50,13:52,13:54,13:55,13:57,13:59,14:01,14:03,14:06,13:31,13:43
太秦天神川,六地蔵,13:37,13:39,13:41,13:43,13:46,13:48,13:50,13:53,13:55,13:57,13:59,14:00,14:02,14:04,14:06,14:08,14:11,,
太秦天神川,六地蔵,13:45,13:47,13:49,13:51,13:53,13:55,13:57,14:00,14:03,14:05,14:06,14:08,14:10,14:12,14:14,14:16,14:18,,
太秦天神川,びわ湖浜大津,,,,,,,,14:05,14:08,14:10,14:11,14:13,14:15,14:17,14:19,14:21,14:23,13:48,14:00
太秦天神川,六地蔵,13:52,13:54,13:56,13:58,14:01,14:03,14:05,14:08,14:10,14:12,14:14,14:15,14:17,14:19,14:21,14:23,14:26,,
太秦天神川,六地蔵,14:00,14:02,14:04,14:06,14:08,14:10,14:12,14:15,14:18,14:20,14:21,14:23,14:25,14:27,14:29,14:31,14:33,,
太秦天神川,六地蔵,14:07,14:09,14:11,14:13,14:16,14:18,14:20,14:23,14:25,14:27,14:29,14:30,14:32,14:34,14:36,14:38,14:41,,
太秦天神川,びわ湖浜大津,,,,,,,,14:26,14:29,14:31,14:32,14:34,14:36,14:38,14:40,14:42,14:44,14:09,14:21
太秦天神川,六地蔵,14:15,14:17,14:19,14:21,14:23,14:25,14:27,14:30,14:33,14:35,14:36,14:38,14:40,14:42,14:44,14:46,14:48,,
太秦天神川,六地蔵,14:22,14:24,14:26,14:28,14:31,14:33,14:35,14:38,14:40,14:42,14:44,14:45,14:47,14:49,14:51,14:53,14:56,,
太秦天神川,六地蔵,14:30,14:32,14:34,14:36,14:38,14:40,14:42,14:45,14:48,14:50,14:51,14:53,14:55,14:57,14:59,15:01,15:03,,
太秦天神川,びわ湖浜大津,,,,,,,,14:48,14:50,14:52,14:54,14:55,14:57,14:59,15:01,15:03,15:06,14:31,14:43
太秦天神川,六地蔵,14:37,14:39,14:41,14:43,14:46,14:48,14:50,14:53,14:55,14:57,14:59,15:00,15:02,15:04,15:06,15:08,15:11,,
太秦天神川,六地蔵,14:45,14:47,14:49,14:51,14:53,14:55,14:57,15:00,15:03,15:05,15:06,15:08,15:10,15:12,15:14,15:16,15:18,,
太秦天神川,びわ湖浜大津,,,,,,,,15:05,15:07,15:09,15:11,15:13,15:15,15:16,15:19,15:21,15:23,14:48,15:00
太秦天神川,六地蔵,14:52,14:54,14:56,14:58,15:01,15:03,15:05,15:08,15:10,15:12,15:14,15:15,15:17,15:19,15:21,15:23,15:26,,
太秦天神川,六地蔵,15:00,15:02,15:04,15:06,15:08,15:10,15:13,15:16,15:18,15:20,15:22,15:24,15:26,15:28,15:30,15:32,15:34,,
太秦天神川,六地蔵,15:07,15:09,15:11,15:13,15:16,15:18,15:20,15:23,15:26,15:28,15:29,15:31,15:33,15:35,15:37,15:39,15:42,,
太秦天神川,びわ湖浜大津,,,,,,,,15:26,15:29,15:31,15:32,15:34,15:36,15:38,15:40,15:42,15:44,15:09,15:21
太秦天神川,六地蔵,15:15,15:17,15:19,15:21,15:23,15:25,15:28,15:31,15:33,15:35,15:37,15:39,15:41,15:43,15:45,15:47,15:49,,
太秦天神川,六地蔵,15:22,15:24,15:26,15:28,15:31,15:33,15:35,15:38,15:41,15:43,15:44,15:46,15:48,15:50,15:52,15:54,15:57,,
太秦天神川,六地蔵,15:30,15:32,15:34,15:36,15:39,15:41,15:43,15:46,15:49,15:51,15:52,15:54,15:56,15:58,16:00,16:02,16:05,,
太秦天神川,びわ湖浜大津,,,,,,,,15:49,15:51,15:53,15:55,15:57,15:59,16:00,16:03,16:05,16:07,15:32,15:44
太秦天神川,六地蔵,15:38,15:40,15:42,15:44,15:47,15:49,15:51,15:54,15:57,15:59,16:00,16:02,16:04,16:06,16:08,16:10,16:13,,
太秦天神川,六地蔵,15:46,15:48,15:50,15:52,15:54,15:56,15:59,16:02,16:04,16:06,16:08,16:10,16:12,16:14,16:16,16:18,16:20,,
太秦天神川,びわ湖浜大津,,,,,,,,16:06,16:09,16:11,16:12,16:14,16:16,16:18,16:20,16:22,16:24,15:49,16:01
太秦天神川,六地蔵,15:53,15:55,15:57,15:59,16:01,16:03,16:06,16:09,16:11,16:13,16:15,16:17,16:19,16:21,16:23,16:25,16:27,,
太秦天神川,六地蔵,16:00,16:02,16:04,16:06,16:08,16:10,16:13,16:16,16:18,16:20,16:22,16:24,16:26,16:28,16:30,16:32,16:34,,
太秦天神川,六地蔵,16:07,16:09,16:11,16:13,16:16,16:18,16:20,16:23,16:26,16:28,16:29,16:31,16:33,16:35,16:37,16:39,16:42,,
太秦天神川,びわ湖浜大津,,,,,,,,16:27,16:29,16:31,16:33,16:35,16:37,16:38,16:41,16:43,16:45,16:10,16:22
太秦天神川,六地蔵,16:15,16:17,16:19,16:21,16:23,16:25,16:28,16:31,16:33,16:35,16:37,16:39,16:41,16:43,16:45,16:47,16:49,,
太秦天神川,六地蔵,16:22,16:24,16:26,16:28,16:31,16:33,16:35,16:38,16:41,16:43,16:44,16:46,16:48,16:50,16:52,16:54,16:57,,
太秦天神川,びわ湖浜大津,,,,,,,,16:41,16:44,16:46,16:47,16:49,16:51,16:53,16:55,16:57,16:59,16:24,16:36
太秦天神川,六地蔵,16:30,16:32,16:34,16:36,16:38,16:40,16:43,16:46,16:48,16:50,16:52,16:54,16:56,16:58,17:00,17:02,17:04,,
太秦天神川,六地蔵,16:37,16:39,16:41,16:43,16:46,16:48,16:50,16:53,16:56,16:58,16:59,17:01,17:03,17:05,17:07,17:09,17:12,,
太秦天神川,びわ湖浜大津,,,,,,,,16:56,16:59,17:01,17:02,17:04,17:06,17:08,17:10,17:12,17:14,16:39,16:51
太秦天神川,六地蔵,16:45,16:47,16:49,16:51,16:53,16:55,16:58,17:01,17:03,17:05,17:07,17:09,17:11,17:13,17:15,17:17,17:19,,
